condition,county,cylinders,fuel,drive,Suma de id,manufacturer,model,Suma de odometer,Suma de price,size,title_status,transmission,type,VIN,Suma de year
excellent,United states,10 cylinders,gas,rwd,73122105907,chevrolet,silverado 1500,805450,10,full-size,clean,automatic,truck,1GCRWBEH3KZ334280,20190
excellent,United states,10 cylinders,gas,rwd,36559667040,ford,bus,801745,59985,full-size,clean,automatic,bus,1FDFE4FS1BDB14902,10055
excellent,United states,10 cylinders,gas,rwd,7313569541,ford,crown victoria,77000,9995,full-size,clean,automatic,sedan,2FAHP71V19X123067,2009
excellent,United states,10 cylinders,gas,rwd,7314305095,ford,e350 12-passenger van,358135,5950,full-size,clean,automatic,bus,1FDWE35S95HA30285,2005
excellent,United states,10 cylinders,gas,rwd,7313854341,ford,e350 van,136527,27950,full-size,clean,automatic,van,1FDWE3FSXGDC32514,2016
excellent,United states,10 cylinders,gas,rwd,7315490396,ford,e450,97347,13900,full-size,clean,automatic,pickup,1FDXE4FSXBDA07626,2011
excellent,United states,10 cylinders,gas,rwd,7316492007,ford,e-450,142000,21000,full-size,clean,automatic,truck,1FDXE4FS3BDA91255,2011
excellent,United states,10 cylinders,gas,rwd,7316722367,ford,e450 bus,249000,13500,full-size,clean,automatic,bus,1FDFE45S29DA69142,2009
excellent,United states,10 cylinders,gas,rwd,7315578969,ford,e450 bus,110815,9977,full-size,clean,automatic,bus,1FDXE45S05HA14986,2005
excellent,United states,10 cylinders,gas,rwd,7315580718,ford,e450 bus,170543,8977,full-size,clean,automatic,bus,1FDXE45S63HB77302,2003
excellent,United states,10 cylinders,gas,rwd,7309659967,ford,ecoline,34908,15500,full-size,clean,automatic,other,1FDXE45S6YHB28527,2000
excellent,United states,10 cylinders,gas,rwd,7316419567,ford,excursion,78565,1999,full-size,clean,automatic,SUV,1FMNU42S23EC08366,2003
excellent,United states,10 cylinders,gas,rwd,21913947327,ford,f-150,288660,3,full-size,clean,automatic,truck,1FTEW1CG4HKC46388,6051
excellent,United states,10 cylinders,gas,rwd,51203637068,ford,f-150,268618,7,full-size,clean,automatic,truck,1FTEX1C88HKE14457,14119
excellent,United states,10 cylinders,gas,rwd,7315645333,ford,f250,60000,16900,full-size,clean,manual,pickup,1FTNX21S7XEB43778,1999
excellent,United states,10 cylinders,gas,rwd,7314053295,ford,f250 utility bed v10,105420,17500,mid-size,clean,automatic,truck,1FTNF2AYXAEB09655,2010
excellent,United states,10 cylinders,gas,rwd,7313860941,ford,f350,40969,24988,full-size,clean,automatic,truck,1FDWW3GY5AEA66968,2010
excellent,United states,10 cylinders,gas,rwd,7312028022,ford,f350 super duty,116925,10999,full-size,clean,automatic,truck,1FDWF36SXXED33138,1999
excellent,United states,10 cylinders,gas,rwd,7316929825,ford,f450 econoline bus,184101,7250,full-size,clean,automatic,bus,1FDXE4FSXBDA28749,2011
excellent,United states,10 cylinders,gas,rwd,36526335104,ford,f-450 super duty,867350,149950,full-size,clean,automatic,pickup,1FDUF4GYXGEA92374,10080
excellent,United states,10 cylinders,gas,rwd,14618561457,ford,f450 utility truck f550,166306,43800,full-size,clean,automatic,truck,1FDXW46Y47EA99237,4014
excellent,United states,10 cylinders,gas,rwd,7314570059,ford,f550,195000,15000,full-size,clean,automatic,bus,1FDGF5GY4DEB15209,2013
excellent,United states,10 cylinders,gas,rwd,14630140613,ford,f550,226578,57976,full-size,clean,manual,truck,1FDUF5GY0DEA73706,4026
excellent,United states,10 cylinders,gas,rwd,7317072832,ford,f550 super duty,157426,15995,full-size,clean,automatic,truck,1FDUF5GY3GEB18545,2016
excellent,United states,10 cylinders,gas,rwd,7315046772,ford,f-550 super duty,172700,39900,full-size,clean,automatic,truck,1FDUF5GY2GEA53378,2016
excellent,United states,10 cylinders,gas,rwd,7313852973,ford,f550hd,145856,25988,full-size,clean,automatic,truck,1FDUF5GY8GEB89059,2016
excellent,United states,10 cylinders,gas,rwd,43864905484,mercedes-benz,e-class,374394,6,compact,clean,automatic,sedan,WDDHF5KB3EB049580,12084
